,created_at,location,user,text
0,Mon Nov 01 10:54:04 +0000 2021,Bandung,Martabak_LEGIT,"Mau Invest  #KulinerBDG mulai dari 25 Juta/Saham? dpt bagi hasil 500ribu/bulan, Info: 0812-2269-0766 atau klik… https://t.co/GXRZmiifuk"
0,Mon Nov 01 10:51:00 +0000 2021,Jakarta,harisubagya,@geloraco Permasalahanya bukan berapa saham LPB di Toba Bara Sejahtera. Namun PCR sebagai tools penanganan dalam  C… https://t.co/0KqWxCbChG
0,Mon Nov 01 10:34:36 +0000 2021,"Sleman, Yogyakarta",AnasApriyadi,"@apathoni Sandi punya saratoga, saratoga punya PG, PG punya saham di traveloka, gitu gak sih? https://t.co/LeBtCzMEHa"
0,Mon Nov 01 10:28:47 +0000 2021,jakarta,abas_jo,"@KompasTV Mayoritas Saham dimiliki SoftBank asal Jepang &amp; Alibaba asal China..

Secara de facto bukan milik Indones… https://t.co/8dFYOfth2W"
0,Mon Nov 01 10:25:35 +0000 2021,"Bandung, Jawa Barat",fakhrads,@apaansiht___t @collegemenfess Trading saham dan crypto
0,Mon Nov 01 10:23:03 +0000 2021,Jakarta,KATADATAcoid,"Produsen mutiara tapioka atau boba, PT Formosa Ingredient Factory melantai di bursa saham Senin (1/11). Perusahaan… https://t.co/yAKNy8BNWn"
0,Mon Nov 01 10:15:47 +0000 2021,"Yogyakarta, Indonesia",YosiPra,@PSSleman Ndan mau nanya caranya bagaimana karena salah satunyavpemegang saham... Apakah kita harus beli sahamnya?
0,Mon Nov 01 10:15:00 +0000 2021,"Jakarta Selatan, DKI Jakarta",limapagi_,"#LIMAPAGI - Indeks Harga Saham Gabungan (IHSG) terkoreksi di akhir perdagangan hari ini. IHSG ditutup melemah 38,46… https://t.co/wrCVNBMQVR"
0,Mon Nov 01 10:06:44 +0000 2021,"Kota Semarang, Jawa Tengah",temandeeptalk,"@Xsarrh beli laptop, hp, saham sama bikin usaha kecil""an"
0,Mon Nov 01 09:55:36 +0000 2021,"Jakarta, Indonesia",detikfinance,Principal Asset Management (Principal) akan meluncurkan fitur Kelas Unit Penyertaan untuk produk reksa dana saham P… https://t.co/KRjiq8IhKv
0,Mon Nov 01 09:42:48 +0000 2021,"West Java, Indonesia",alfarid100,Pak Lo Kheng Hong aja pakai KOINS dari KISI Sekuritas loh. Katanya sangat puas dengan pelayanan di KISI. Fee nya ju… https://t.co/wyViGtSmvF
0,Mon Nov 01 09:38:45 +0000 2021,"Sleman, Indonesia",Wisnuajj_,Jane saham e mbokne Arthur i pirang M to? 35% to?
0,Mon Nov 01 09:37:23 +0000 2021,"Jakarta, Indonesia",hsb_investasi,"Download HSB Investasi, platform investasi/trading saham dan komoditas yang terjamin aman karena sudah terdaftar da… https://t.co/SXlPDM1sZc"
0,Mon Nov 01 09:36:57 +0000 2021,"Jakarta, Indonesia",hsb_investasi,"Terus, kalau mau investasi di mana? Tentu saja kamu bisa investasi emas atau saham. Pilih broker/platform yang terp… https://t.co/HDFTYtHcdf"
0,Mon Nov 01 09:36:54 +0000 2021,"Jakarta Barat, DKI Jakarta",WealthProid,Window Dressing? Apa saja yang mempengaruhinya? Perlukah kita membeli saham dan bagaimana sikap kita dalam menghada… https://t.co/7bQhSpAW09
0,Mon Nov 01 09:35:02 +0000 2021,Sidareja,raflyauliar_,"@titisanbanggarr @txtdarionlshop sama aja kek saham, beli murah jual mahal koinnya. Cuma produknya coin/token. Cuma… https://t.co/ZNfCudF9CB"
